epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,119.95,1.58055,3.35589,1.87628,1.70028,0.20239,0.13737,0.08593,0.03012,0.15813,0.08437,0.03754,0.01194,2.31364,6.20289,5.54815,2.74986,0.004208,0.004208,0.004208
34,122.88,1.63387,3.35606,1.90285,1.73756,0.19951,0.22783,0.11187,0.0384,0.12599,0.10897,0.03058,0.00945,2.24096,6.33957,4.10234,2.60427,0.00418325,0.00418325,0.00418325
35,125.848,1.60167,3.29555,1.90693,1.73505,0.26649,0.15095,0.12404,0.0454,0.16442,0.06546,0.03925,0.01442,2.18694,6.41934,4.06694,2.56972,0.0041585,0.0041585,0.0041585
36,128.837,1.59549,3.23839,1.88334,1.69574,0.28645,0.26129,0.12751,0.05775,0.24668,0.13936,0.06352,0.03257,2.23642,6.23466,4.11076,2.6639,0.00413375,0.00413375,0.00413375
37,131.815,1.60164,3.22324,1.87336,1.71456,0.31204,0.16455,0.11981,0.05441,0.25159,0.09251,0.05883,0.03318,2.33429,6.12557,3.9984,2.82017,0.004109,0.004109,0.004109
38,134.528,1.64126,3.32985,1.9219,1.73023,0.20064,0.22222,0.11083,0.04996,0.1448,0.12889,0.0598,0.03419,2.3531,5.92991,4.34599,2.84722,0.00408425,0.00408425,0.00408425
39,137.16,1.57983,3.25241,1.83796,1.71078,0.20335,0.25172,0.1144,0.05058,0.26909,0.14554,0.07647,0.03883,2.26606,5.68881,5.24443,2.70166,0.0040595,0.0040595,0.0040595
40,139.84,1.54698,3.30313,1.84103,1.67116,0.34984,0.16297,0.11507,0.04843,0.44731,0.07699,0.07183,0.0328,2.32691,5.38535,5.50194,2.72908,0.00403475,0.00403475,0.00403475
41,142.65,1.52238,3.20258,1.78376,1.66886,0.38009,0.18727,0.13627,0.0599,0.32578,0.11186,0.07213,0.03426,2.33835,5.07514,5.34099,2.68328,0.00401,0.00401,0.00401
42,145.784,1.53587,3.09309,1.71226,1.64628,0.30714,0.17487,0.12461,0.06038,0.22217,0.09068,0.05985,0.02967,2.27959,5.18541,6.0588,2.60804,0.00398525,0.00398525,0.00398525
43,148.491,1.47864,3.13901,1.74025,1.63432,0.26922,0.18794,0.13145,0.06282,0.20797,0.12594,0.06905,0.03017,2.28945,4.90015,4.65537,2.58272,0.0039605,0.0039605,0.0039605
44,151.235,1.56623,3.23587,1.79369,1.6851,0.45107,0.16173,0.13779,0.06547,0.3932,0.12832,0.07821,0.03237,2.26496,4.7411,4.4797,2.51545,0.00393575,0.00393575,0.00393575
45,154.221,1.4697,3.11989,1.66558,1.63805,0.44667,0.17709,0.12695,0.05321,0.38274,0.12599,0.06506,0.02415,2.31581,4.71417,4.94782,2.59817,0.003911,0.003911,0.003911
46,156.823,1.47211,3.18308,1.77037,1.66042,0.44509,0.14768,0.12129,0.04762,0.40204,0.11492,0.05686,0.01961,2.3099,4.70348,4.36375,2.59329,0.00388625,0.00388625,0.00388625
