epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,384.834,2.29661,4.85365,3.32584,2.49643,0.37192,0.05042,0.00867,0.00227,0.27492,0.02097,0.00138,0.00035,2.7675,4.99674,4.89693,3.05527,0.0016733,0.0016733,0.0016733
35,395.521,2.26914,4.91055,3.38252,2.48325,0.19756,0.05219,0.01183,0.00389,0.4583,0.00866,0.00181,0.00039,2.83936,5.00043,4.37729,3.09585,0.0016634,0.0016634,0.0016634
36,406.874,2.35828,4.78523,3.38737,2.50485,0.38452,0.05076,0.02428,0.00592,0.37214,0.01299,0.00787,0.00118,2.68568,5.02752,3.81853,2.96716,0.0016535,0.0016535,0.0016535
37,418.43,2.247,4.78381,3.2449,2.42811,0.38452,0.05076,0.02428,0.00592,0.37214,0.01299,0.00787,0.00118,2.68568,5.02752,3.81853,2.96716,0.0016436,0.0016436,0.0016436
38,430.089,2.31675,4.82844,3.30916,2.4608,0.38249,0.05763,0.02325,0.00615,0.37345,0.01732,0.00695,0.00128,2.64087,5.07781,3.68595,2.91814,0.0016337,0.0016337,0.0016337
39,441.694,2.40841,4.73769,3.33727,2.48614,0.38871,0.05316,0.03099,0.00871,0.38196,0.01082,0.00961,0.00231,2.67102,5.0346,3.80338,2.94662,0.0016238,0.0016238,0.0016238
40,452.97,2.31897,4.85867,3.33476,2.50261,0.32279,0.06493,0.02682,0.00746,0.28217,0.01732,0.00725,0.00148,2.64443,5.11551,3.64649,2.93435,0.0016139,0.0016139,0.0016139
41,463.59,2.20256,4.84091,3.26943,2.43253,0.21342,0.12669,0.03564,0.00981,0.19532,0.02092,0.00759,0.00129,2.59396,5.19234,3.60769,2.92438,0.001604,0.001604,0.001604
42,475.162,2.38648,4.78533,3.26194,2.48292,0.23462,0.08127,0.03603,0.00889,0.19335,0.02742,0.00745,0.00139,2.59947,5.08036,3.60233,2.92739,0.0015941,0.0015941,0.0015941
43,485.982,2.21591,4.75806,3.31214,2.42623,0.29314,0.06206,0.02546,0.00791,0.29523,0.02309,0.00801,0.00233,2.76135,5.16301,4.07709,3.01845,0.0015842,0.0015842,0.0015842
44,496.446,2.34886,4.73853,3.29792,2.47188,0.28842,0.06837,0.02337,0.00651,0.2866,0.01443,0.00679,0.00191,2.69235,5.17816,4.0202,2.94974,0.0015743,0.0015743,0.0015743
45,506.992,2.35307,4.6946,3.23051,2.4578,0.19943,0.06149,0.02113,0.00554,0.28788,0.01443,0.00593,0.00195,2.64481,5.05317,3.94958,2.93958,0.0015644,0.0015644,0.0015644
46,517.334,2.29761,4.70505,3.27774,2.41622,0.19943,0.06149,0.02113,0.00554,0.28788,0.01443,0.00593,0.00195,2.64481,5.05317,3.94958,2.93958,0.0015545,0.0015545,0.0015545
47,527.905,2.33819,4.75339,3.27369,2.44968,0.19816,0.07791,0.01786,0.00454,0.18761,0.01948,0.00313,0.00064,2.67651,5.07326,4.19056,2.96605,0.0015446,0.0015446,0.0015446
48,538.539,2.22367,4.73529,3.21882,2.40777,0.20771,0.06683,0.01981,0.00577,0.198,0.01587,0.00372,0.00098,2.59602,5.05195,3.65703,2.89056,0.0015347,0.0015347,0.0015347
49,549.074,2.23351,4.74826,3.17367,2.38613,0.13346,0.06675,0.02947,0.00735,0.09651,0.01515,0.00607,0.00112,2.5848,5.0386,3.53603,2.92801,0.0015248,0.0015248,0.0015248
50,559.567,2.25352,4.6992,3.32926,2.45908,0.02749,0.08477,0.02342,0.00669,0.00417,0.01948,0.004,0.00095,2.55488,5.00645,3.63813,2.87705,0.0015149,0.0015149,0.0015149
51,570.228,2.15381,4.82662,3.14978,2.38054,0.10711,0.09586,0.01882,0.00506,0.09465,0.01299,0.0029,0.00064,2.59773,5.09217,4.29685,2.91627,0.001505,0.001505,0.001505
52,580.683,2.26572,4.66868,3.16967,2.39808,0.20513,0.0798,0.02007,0.00592,0.18852,0.02165,0.0045,0.00112,2.60234,5.09748,4.47969,2.9428,0.0014951,0.0014951,0.0014951
53,591.275,2.20177,4.72923,3.15534,2.36757,0.2163,0.07242,0.02884,0.00842,0.28485,0.01599,0.00887,0.00248,2.52639,5.04382,4.01712,2.85825,0.0014852,0.0014852,0.0014852
54,601.892,2.30005,4.76485,3.13994,2.4012,0.32684,0.0539,0.02817,0.00754,0.3807,0.01732,0.00893,0.0024,2.60512,5.05688,4.27253,2.92869,0.0014753,0.0014753,0.0014753
55,612.508,2.27249,4.5866,3.18892,2.37815,0.32684,0.0539,0.02817,0.00754,0.3807,0.01732,0.00893,0.0024,2.60512,5.05688,4.27253,2.92869,0.0014654,0.0014654,0.0014654
56,623.028,2.24954,4.66654,3.20735,2.36492,0.2201,0.07182,0.02685,0.00693,0.195,0.02165,0.00773,0.00217,2.71173,5.08938,4.65354,3.03812,0.0014555,0.0014555,0.0014555
